post,reply,comment,total,liked,test_grade,homework_grade,exam_grade,discussion_grade,final_grade,grade_level
1.0,5.0,0.0,6.0,0.0,10.0,20.0,0.0,10.0,5.33,3.0
0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,10.0,5.33,3.0
0.0,0.0,0.0,0.0,0.0,10.0,17.25,0.0,10.0,5.22,3.0
0.0,0.0,0.0,0.0,0.0,9.0,20.0,0.0,10.0,5.08,3.0
0.0,0.0,0.0,0.0,0.0,9.0,19.5,0.0,10.0,5.06,3.0
0.0,0.0,0.0,0.0,0.0,14.82,0.0,0.0,10.0,4.73,3.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,4.5,3.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,4.5,3.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,4.5,3.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,4.5,3.0
0.0,0.0,0.0,0.0,0.0,25.5,0.0,0.0,0.0,4.31,3.0
0.0,0.0,0.0,0.0,0.0,7.0,12.5,0.0,10.0,4.27,3.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,10.0,4.25,3.0
0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0,10.0,4.17,3.0
0.0,0.0,0.0,0.0,0.0,23.32,0.0,0.0,0.0,4.17,3.0
0.0,0.0,0.0,0.0,0.0,6.0,15.0,0.0,10.0,4.13,3.0
0.0,0.0,0.0,0.0,0.0,10.0,28.75,0.0,0.0,4.11,3.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,10.0,4.0,3.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,10.0,4.0,3.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,10.0,4.0,3.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,10.0,4.0,3.0
0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,10.0,3.75,3.0
0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,10.0,3.75,3.0
